import time: self [us] | cumulative | imported package
import time:     56983 |      56983 |             anyio.streams.tls
import time:     39589 |     622031 |           anyio._core._sockets
import time:     67408 |      67408 |             anyio.streams.memory
import time:     78116 |     145523 |           anyio._core._streams
import time:       264 |        264 |                 _locale
import time:      4310 |       4574 |               locale
import time:      1440 |       1440 |               fcntl
import time:       140 |        140 |               msvcrt
import time:     47449 |      53602 |             subprocess
import time:     30259 |      83860 |           anyio._core._subprocesses
import time:       236 |        236 |                 zlib
import time:      1564 |       1564 |                     compression
import time:      1564 |       3127 |                   compression._common
import time:     46227 |      46227 |                   compression._common._streams
import time:     97463 |      97463 |                   _bz2
import time:    106344 |     253160 |                 bz2
import time:    162545 |     162545 |                   _lzma
import time:     62749 |     225294 |                 lzma
import time:    133105 |     133105 |                   _zstd
import time:    121858 |     121858 |                   compression.zstd._zstdfile
import time:     53223 |     308184 |                 compression.zstd
import time:     46028 |     832900 |               shutil
import time:       172 |        172 |                   _bisect
import time:      2500 |       2672 |                 bisect
import time:       139 |        139 |                 _random
import time:    145837 |     148646 |               random
import time:     50669 |    1032214 |             tempfile
import time:     36501 |    1068715 |           anyio._core._tempfile
import time:     71964 |    5168218 |         anyio
import time:    195761 |     195761 |                       typing_extensions
import time:      2593 |       2593 |                       pydantic_core._pydantic_core
import time:     45225 |      45225 |                             numbers
import time:     65233 |     110458 |                           _decimal
import time:     44589 |     155047 |                         decimal
import time:    115254 |     270301 |                       pydantic_core.core_schema
import time:     64492 |     533146 |                     pydantic_core
import time:    182188 |     715333 |                   pydantic.version
import time:    119707 |     835039 |                 pydantic.warnings
import time:    101858 |     936897 |               pydantic._migration
import time:     33297 |      33297 |                   typing_inspection
import time:     42560 |      42560 |                   typing_inspection.typing_objects
import time:    194580 |     270435 |                 typing_inspection.introspection
import time:      2173 |       2173 |                 pydantic._internal
import time:     26519 |      26519 |                     pydantic._internal._namespace_utils
import time:     46363 |      72881 |                   pydantic._internal._typing_extra
import time:     28916 |     101797 |                 pydantic._internal._repr
import time:    265989 |     640393 |               pydantic.errors
import time:     60573 |    1637863 |             pydantic
import time:      2149 |       2149 |                 pydantic._internal._internal_dataclass
import time:     43344 |      45493 |               pydantic.aliases
import time:     72910 |      72910 |               pydantic.config
import time:     30459 |     148860 |             pydantic._internal._config
import time:     34027 |      34027 |               pydantic._internal._core_utils
import time:    111132 |     111132 |                 pydantic._internal._import_utils
import time:     80394 |     191525 |               pydantic._internal._utils
import time:     29064 |     254615 |             pydantic._internal._decorators
import time:     57801 |      57801 |                 pydantic._internal._forward_ref
import time:     75339 |     133139 |               pydantic._internal._generics
import time:     65450 |      65450 |               pydantic._internal._docs_extraction
import time:     71629 |     270217 |             pydantic._internal._fields
import time:     71813 |      71813 |                 pydantic.plugin
import time:    134289 |     206101 |               pydantic.plugin._schema_validator
import time:     57356 |     263457 |             pydantic._internal._mock_val_ser
import time:     73260 |      73260 |                 fractions
import time:     40295 |      40295 |                   _uuid
import time:    114953 |     155248 |                 uuid
import time:     23118 |      23118 |                     sysconfig
import time:       146 |        146 |                     _sysconfig
import time:     40450 |      63713 |                   zoneinfo._tzpath
import time:     21711 |      21711 |                   zoneinfo._common
import time:     40333 |      40333 |                   _zoneinfo
import time:    124172 |     249927 |                 zoneinfo
import time:     25389 |      25389 |                 pydantic.annotated_handlers
import time:     37239 |      37239 |                 pydantic.functional_validators
import time:     44773 |      44773 |                   pydantic._internal._core_metadata
import time:     40438 |      40438 |                   pydantic._internal._schema_generation_shared
import time:     40477 |     125687 |                 pydantic.json_schema
import time:     21962 |      21962 |                 pydantic._internal._discriminated_union
import time:     56655 |      56655 |                 pydantic._internal._known_annotated_metadata
import time:     21079 |      21079 |                 pydantic._internal._schema_gather
import time:     33324 |     799765 |               pydantic._internal._generate_schema
import time:     28276 |      28276 |               pydantic._internal._signature
import time:     46965 |     875005 |             pydantic._internal._model_construction
import time:     37142 |      37142 |               http
import time:     34680 |      71822 |             starlette.exceptions
import time:    382382 |     382382 |               annotated_types
import time:     79299 |      79299 |               pydantic._internal._validators
import time:     48734 |      48734 |               pydantic.types
import time:     51901 |     562314 |             pydantic.fields
import time:     25485 |      25485 |                     importlib._abc
import time:       514 |      25998 |                   importlib.util
import time:     33373 |      33373 |                     zipfile._path.glob
import time:     61712 |      95085 |                   zipfile._path
import time:     33939 |     155021 |                 zipfile
import time:     57048 |      57048 |                 importlib.metadata._meta
import time:     32906 |      32906 |                 importlib.metadata._collections
import time:     54177 |      54177 |                 importlib.metadata._functools
import time:      1505 |       1505 |                 importlib.metadata._itertools
import time:     21381 |      21381 |                 importlib.abc
import time:     32925 |     354960 |               importlib.metadata
import time:     27571 |     382531 |             pydantic.plugin._loader
import time:    367409 |    4834089 |           fastapi.exceptions
import time:      1934 |       1934 |             fastapi.openapi
import time:     40776 |      40776 |                 fastapi.types
import time:     90834 |      90834 |                   shlex
import time:     23081 |      23081 |                   starlette.concurrency
import time:     40320 |      40320 |                   starlette.types
import time:     55688 |     209922 |                 starlette.datastructures
import time:     37369 |     288065 |               fastapi._compat.shared
import time:      3419 |       3419 |                 fastapi.openapi.constants
import time:     50767 |      54185 |               fastapi._compat.v2
import time:     37299 |     379549 |             fastapi._compat
import time:     76392 |      76392 |             fastapi.logger
import time:       922 |        922 |             email_validator
import time:    292048 |     750843 |           fastapi.openapi.models
import time:     39110 |      39110 |           fastapi.datastructures
import time:     59462 |    5683503 |         fastapi.params
import time:      1963 |       1963 |           fastapi.dependencies
import time:     33515 |      33515 |                 fastapi.security.base
import time:     24392 |      24392 |                   http.cookies
import time:     29274 |      29274 |                   starlette._utils
import time:     43852 |      43852 |                           python_multipart.exceptions
import time:     48551 |      92403 |                         python_multipart.decoders
import time:     37132 |     129534 |                       python_multipart.multipart
import time:     60007 |     189540 |                     python_multipart
import time:     46374 |     235914 |                   starlette.formparsers
import time:     29245 |     318824 |                 starlette.requests
import time:     33515 |     385853 |               fastapi.security.api_key
import time:     59812 |      59812 |                 fastapi.security.utils
import time:     37296 |      97108 |               fastapi.security.http
