import time: self [us] | cumulative | imported package
import time:     58895 |     181226 |                       rsa.prime
import time:     21154 |      21154 |                       rsa.pem
import time:     59934 |      59934 |                       rsa.core
import time:    122920 |     385234 |                     rsa.key
import time:     51843 |      51843 |                     rsa.pkcs1
import time:     76921 |     513997 |                   rsa
import time:      2093 |       2093 |                     pyasn1
import time:     72677 |      74770 |                   pyasn1.error
import time:      1554 |       1554 |                       pyasn1.codec
import time:     40508 |      42061 |                     pyasn1.codec.der
import time:     55363 |      55363 |                       pyasn1.codec.cer
import time:     19821 |      19821 |                           pyasn1.type
import time:      1739 |       1739 |                             pyasn1.codec.ber
import time:      1691 |       1691 |                                   pyasn1.type.error
import time:     42894 |      44584 |                                 pyasn1.type.constraint
import time:     35377 |      35377 |                                 pyasn1.type.tag
import time:     74305 |      74305 |                                 pyasn1.type.tagmap
import time:     53954 |     208219 |                               pyasn1.type.base
import time:     95970 |     304188 |                             pyasn1.codec.ber.eoo
import time:     90893 |      90893 |                             pyasn1.compat
import time:    102809 |     102809 |                             pyasn1.compat.integer
import time:     81029 |      81029 |                             pyasn1.type.namedtype
import time:     42034 |      42034 |                             pyasn1.type.namedval
import time:     77907 |     700597 |                           pyasn1.type.univ
import time:     56962 |     777380 |                         pyasn1.codec.streaming
import time:     33628 |      33628 |                           pyasn1.debug
import time:     27134 |      27134 |                           pyasn1.type.char
import time:     22811 |      22811 |                           pyasn1.type.useful
import time:     35942 |     119514 |                         pyasn1.codec.ber.decoder
import time:     55825 |     952718 |                       pyasn1.codec.cer.decoder
import time:     28409 |    1036489 |                     pyasn1.codec.der.decoder
import time:     29888 |      29888 |                         pyasn1.codec.ber.encoder
import time:     51107 |      80994 |                       pyasn1.codec.cer.encoder
import time:     65226 |     146220 |                     pyasn1.codec.der.encoder
import time:     20906 |    1245675 |                   jose.backends._asn1
import time:     77450 |    1911891 |                 jose.backends.rsa_backend
import time:       928 |        928 |                     cryptography
import time:       113 |       1041 |                   cryptography.exceptions
import time:      7527 |       8568 |                 jose.backends.cryptography_backend
import time:     31642 |      31642 |                 jose.backends.ecdsa_backend
import time:      1313 |       1313 |                     cryptography
import time:       110 |       1423 |                   cryptography.exceptions
import time:      2016 |       3438 |                 jose.backends.cryptography_backend
import time:      1418 |       1418 |                     cryptography
import time:       235 |       1652 |                   cryptography.exceptions
import time:      2074 |       3725 |                 jose.backends.cryptography_backend
import time:     47650 |    2621115 |               jose.backends
import time:        89 |    2621203 |             jose.backends.base
import time:      1491 |    2622694 |           jose.jwk
import time:     55554 |    2678248 |         jose.jws
import time:    112806 |    2825958 |       jose.jwt
import time:      2684 |       2684 |         passlib
import time:     32342 |      32342 |         passlib.exc
import time:     55958 |      55958 |                 passlib.utils.compat
import time:   2508072 |    2508072 |                   unicodedata
import time:     47432 |    2555503 |                 stringprep
import time:       144 |        144 |                   gc
import time:    447723 |     447866 |                 timeit
import time:    422193 |     422193 |                   passlib.utils.decor
import time:    151831 |     574023 |                 passlib.utils.binary
import time:      1390 |       1390 |                 crypt
import time:     68309 |    3703047 |               passlib.utils
import time:       110 |    3703156 |             passlib.utils.decor
import time:     38682 |    3741837 |           passlib.ifc
import time:     26925 |    3768762 |         passlib.registry
import time:    228316 |     228316 |         passlib.utils.handlers
import time:    579270 |     579270 |         configparser
import time:     35474 |    4646846 |       passlib.context
import time:      1711 |       1711 |         passlib.handlers
import time:      1381 |       1381 |           passlib.crypto
import time:      1403 |       1403 |           fastpbkdf2
import time:    238772 |     241554 |         passlib.crypto.digest
import time:    286924 |     530188 |       passlib.handlers.bcrypt
import time:     40365 |    8090642 |     app.security
import time:    118839 |     118839 |     app.deps
import time:       692 |        692 |       app.services
import time:     64910 |      64910 |         email.generator
import time:     87052 |     151962 |       smtplib
import time:      1445 |       1445 |         email.mime
import time:    100654 |     100654 |               email._header_value_parser
import time:     69376 |     170030 |             email.headerregistry
import time:    107588 |     107588 |             email.contentmanager
import time:     42932 |     320548 |           email.policy
import time:     33385 |     353933 |         email.mime.base
import time:     33452 |     388829 |       email.mime.multipart
import time:     32863 |      32863 |         email.mime.nonmultipart
import time:     39312 |      72175 |       email.mime.text
import time:    223232 |     836888 |     app.services.email_service
import time:     27032 |      27032 |             pydantic.v1.typing
import time:     68629 |      95661 |           pydantic.v1.errors
import time:       868 |        868 |               cython
import time:     49360 |      50227 |             pydantic.v1.version
import time:     23166 |      73393 |           pydantic.v1.utils
import time:     45219 |     214272 |         pydantic.v1.class_validators
import time:     60724 |      60724 |         pydantic.v1.config
import time:     33641 |      33641 |             pydantic.v1.color
import time:     26817 |      26817 |                 pydantic.v1.datetime_parse
import time:     25498 |      52315 |               pydantic.v1.validators
import time:     58954 |     111268 |             pydantic.v1.networks
import time:     31674 |      31674 |             pydantic.v1.types
import time:     19655 |     196238 |           pydantic.v1.json
import time:     14075 |     210312 |         pydantic.v1.error_wrappers
import time:     17159 |      17159 |         pydantic.v1.fields
import time:     79268 |      79268 |           pydantic.v1.parse
import time:     71031 |      71031 |           pydantic.v1.schema
import time:     28182 |     178480 |         pydantic.v1.main
import time:     65059 |     746004 |       pydantic.v1.dataclasses
import time:     39718 |      39718 |       pydantic.v1.annotated_types
import time:     20911 |      20911 |       pydantic.v1.decorator
import time:     32031 |      32031 |       pydantic.v1.env_settings
import time:     24853 |      24853 |       pydantic.v1.tools
import time:     58112 |     921627 |     pydantic.v1
import time:     97258 |   10285067 |   app.routers.auth
import time:      1094 |       1094 |             pwd
import time:       777 |        777 |             grp
import time:    296758 |     298628 |           tarfile
import time:   2304084 |    2304084 |             pymupdf._extra
import time:    587898 |    2891981 |           pymupdf.extra
import time:   6370278 |    6370278 |             pymupdf._mupdf
