import time: self [us] | cumulative | imported package
import time:      4630 |       4630 |             anyio.streams.tls
import time:      5251 |      47046 |           anyio._core._sockets
import time:      8857 |       8857 |             anyio.streams.memory
import time:      2065 |      10921 |           anyio._core._streams
import time:       267 |        267 |                 _locale
import time:      8689 |       8955 |               locale
import time:      1325 |       1325 |               fcntl
import time:       169 |        169 |               msvcrt
import time:      5527 |      15975 |             subprocess
import time:      2633 |      18607 |           anyio._core._subprocesses
import time:       334 |        334 |                 zlib
import time:      2691 |       2691 |                     compression
import time:      2242 |       4932 |                   compression._common
import time:      2228 |       2228 |                   compression._common._streams
import time:      1747 |       1747 |                   _bz2
import time:      2530 |      11436 |                 bz2
import time:      2010 |       2010 |                   _lzma
import time:      2425 |       4435 |                 lzma
import time:      1906 |       1906 |                   _zstd
import time:      2312 |       2312 |                   compression.zstd._zstdfile
import time:      4149 |       8367 |                 compression.zstd
import time:      3955 |      28526 |               shutil
import time:       173 |        173 |                   _bisect
import time:      1879 |       2052 |                 bisect
import time:       204 |        204 |                 _random
import time:      2890 |       5145 |               random
import time:     12990 |      46660 |             tempfile
import time:      5340 |      51999 |           anyio._core._tempfile
import time:      2981 |     400645 |         anyio
import time:      8226 |       8226 |                       typing_extensions
import time:      3488 |       3488 |                       pydantic_core._pydantic_core
import time:      3654 |       3654 |                             numbers
import time:      3709 |       7363 |                           _decimal
import time:      2047 |       9409 |                         decimal
import time:     57522 |      66930 |                       pydantic_core.core_schema
import time:      4956 |      83598 |                     pydantic_core
import time:      1701 |      85299 |                   pydantic.version
import time:      2287 |      87586 |                 pydantic.warnings
import time:      3462 |      91047 |               pydantic._migration
import time:      2849 |       2849 |                   typing_inspection
import time:      9617 |       9617 |                   typing_inspection.typing_objects
import time:      4683 |      17148 |                 typing_inspection.introspection
import time:      2064 |       2064 |                 pydantic._internal
import time:      3313 |       3313 |                     pydantic._internal._namespace_utils
import time:      5453 |       8765 |                   pydantic._internal._typing_extra
import time:      2615 |      11379 |                 pydantic._internal._repr
import time:      2886 |      33476 |               pydantic.errors
import time:      3052 |     127575 |             pydantic
import time:      1477 |       1477 |                 pydantic._internal._internal_dataclass
import time:      5423 |       6900 |               pydantic.aliases
import time:      5819 |       5819 |               pydantic.config
import time:      2313 |      15031 |             pydantic._internal._config
import time:      1937 |       1937 |               pydantic._internal._core_utils
import time:      1619 |       1619 |                 pydantic._internal._import_utils
import time:      5354 |       6973 |               pydantic._internal._utils
import time:     16110 |      25018 |             pydantic._internal._decorators
import time:      8183 |       8183 |                 pydantic._internal._forward_ref
import time:      2672 |      10855 |               pydantic._internal._generics
import time:      1723 |       1723 |               pydantic._internal._docs_extraction
import time:      3666 |      16243 |             pydantic._internal._fields
import time:     10567 |      10567 |                 pydantic.plugin
import time:      7351 |      17918 |               pydantic.plugin._schema_validator
import time:      2144 |      20062 |             pydantic._internal._mock_val_ser
import time:      8223 |       8223 |                 fractions
import time:      2074 |       2074 |                   _uuid
