import time: self [us] | cumulative | imported package
import time:      1776 |       1776 |                       rsa.core
import time:      3691 |      45760 |                     rsa.key
import time:      1455 |       1455 |                     rsa.pkcs1
import time:      2760 |      49974 |                   rsa
import time:      1790 |       1790 |                     pyasn1
import time:      1513 |       3303 |                   pyasn1.error
import time:      1019 |       1019 |                       pyasn1.codec
import time:      1354 |       2373 |                     pyasn1.codec.der
import time:      1714 |       1714 |                       pyasn1.codec.cer
import time:      1469 |       1469 |                           pyasn1.type
import time:      1762 |       1762 |                             pyasn1.codec.ber
import time:      1654 |       1654 |                                   pyasn1.type.error
import time:      2373 |       4027 |                                 pyasn1.type.constraint
import time:      1741 |       1741 |                                 pyasn1.type.tag
import time:      1436 |       1436 |                                 pyasn1.type.tagmap
import time:      2857 |      10059 |                               pyasn1.type.base
import time:      2182 |      12241 |                             pyasn1.codec.ber.eoo
import time:      1431 |       1431 |                             pyasn1.compat
import time:      3232 |       3232 |                             pyasn1.compat.integer
import time:      6320 |       6320 |                             pyasn1.type.namedtype
import time:      1800 |       1800 |                             pyasn1.type.namedval
import time:      5704 |      32487 |                           pyasn1.type.univ
import time:      1554 |      35508 |                         pyasn1.codec.streaming
import time:      2145 |       2145 |                           pyasn1.debug
import time:      3706 |       3706 |                           pyasn1.type.char
import time:      2867 |       2867 |                           pyasn1.type.useful
import time:      8144 |      16861 |                         pyasn1.codec.ber.decoder
import time:      2314 |      54682 |                       pyasn1.codec.cer.decoder
import time:      2736 |      59132 |                     pyasn1.codec.der.decoder
import time:      1714 |       1714 |                         pyasn1.codec.ber.encoder
import time:      1532 |       3246 |                       pyasn1.codec.cer.encoder
import time:      1408 |       4654 |                     pyasn1.codec.der.encoder
import time:      1765 |      67922 |                   jose.backends._asn1
import time:      2809 |     124006 |                 jose.backends.rsa_backend
import time:       982 |        982 |                     cryptography
import time:        90 |       1071 |                   cryptography.exceptions
import time:      1667 |       2738 |                 jose.backends.cryptography_backend
import time:      1804 |       1804 |                 jose.backends.ecdsa_backend
import time:      1126 |       1126 |                     cryptography
import time:       106 |       1232 |                   cryptography.exceptions
import time:      2101 |       3332 |                 jose.backends.cryptography_backend
import time:      1657 |       1657 |                     cryptography
import time:       130 |       1787 |                   cryptography.exceptions
import time:      2163 |       3950 |                 jose.backends.cryptography_backend
import time:      2133 |     196063 |               jose.backends
import time:        97 |     196159 |             jose.backends.base
import time:      1582 |     197740 |           jose.jwk
import time:      1847 |     199586 |         jose.jws
import time:      1585 |     207648 |       jose.jwt
import time:      2473 |       2473 |         passlib
import time:      1749 |       1749 |         passlib.exc
import time:      2470 |       2470 |                 passlib.utils.compat
import time:      1771 |       1771 |                   unicodedata
import time:      2288 |       4059 |                 stringprep
import time:       231 |        231 |                   gc
import time:      8901 |       9132 |                 timeit
import time:      1876 |       1876 |                   passlib.utils.decor
import time:      2648 |       4523 |                 passlib.utils.binary
import time:      1160 |       1160 |                 crypt
import time:      2358 |      23699 |               passlib.utils
import time:        72 |      23770 |             passlib.utils.decor
import time:      1310 |      25080 |           passlib.ifc
import time:      1646 |      26725 |         passlib.registry
import time:      5507 |       5507 |         passlib.utils.handlers
import time:      6598 |       6598 |         configparser
import time:      3244 |      46295 |       passlib.context
import time:      1659 |       1659 |         passlib.handlers
import time:      1117 |       1117 |           passlib.crypto
import time:      1041 |       1041 |           fastpbkdf2
import time:      2047 |       4204 |         passlib.crypto.digest
import time:      5308 |      11170 |       passlib.handlers.bcrypt
import time:      2131 |     272171 |     app.security
import time:      1761 |       1761 |     app.deps
import time:       964 |        964 |       app.services
import time:     12302 |      12302 |         email.generator
import time:     35741 |      48042 |       smtplib
import time:      1892 |       1892 |         email.mime
import time:     86021 |      86021 |               email._header_value_parser
import time:     16077 |     102098 |             email.headerregistry
import time:     10534 |      10534 |             email.contentmanager
import time:      6517 |     119147 |           email.policy
import time:      2690 |     121837 |         email.mime.base
import time:      3520 |     127248 |       email.mime.multipart
import time:      1978 |       1978 |         email.mime.nonmultipart
import time:      3261 |       5239 |       email.mime.text
import time:      2033 |     183524 |     app.services.email_service
import time:      2238 |       2238 |             pydantic.v1.typing
import time:      5807 |       8045 |           pydantic.v1.errors
import time:      1270 |       1270 |               cython
import time:      1514 |       2784 |             pydantic.v1.version
import time:      3358 |       6141 |           pydantic.v1.utils
import time:      2079 |      16263 |         pydantic.v1.class_validators
import time:      4534 |       4534 |         pydantic.v1.config
import time:      2637 |       2637 |             pydantic.v1.color
import time:     10303 |      10303 |                 pydantic.v1.datetime_parse
import time:      2292 |      12595 |               pydantic.v1.validators
import time:      3602 |      16196 |             pydantic.v1.networks
import time:     13432 |      13432 |             pydantic.v1.types
import time:      1820 |      34084 |           pydantic.v1.json
import time:      2021 |      36104 |         pydantic.v1.error_wrappers
import time:      2263 |       2263 |         pydantic.v1.fields
import time:      1871 |       1871 |           pydantic.v1.parse
import time:      2421 |       2421 |           pydantic.v1.schema
import time:      2647 |       6938 |         pydantic.v1.main
import time:      2508 |      68609 |       pydantic.v1.dataclasses
import time:      1595 |       1595 |       pydantic.v1.annotated_types
import time:      1628 |       1628 |       pydantic.v1.decorator
import time:      2919 |       2919 |       pydantic.v1.env_settings
import time:      3599 |       3599 |       pydantic.v1.tools
import time:      2395 |      80742 |     pydantic.v1
import time:     13644 |     732476 |   app.routers.auth
import time:      1015 |       1015 |           app.data
import time:      2128 |       3143 |         app.data.skill_taxonomy
import time:      2385 |       2385 |             numpy.version
import time:      1499 |       1499 |             numpy._expired_attrs_2_0
import time:      2153 |       2153 |                 numpy._utils._convertions
import time:      1826 |       3979 |               numpy._utils
import time:      2268 |       6247 |             numpy._globals
import time:       335 |        335 |               numpy._distributor_init_local
import time:      1739 |       2074 |             numpy._distributor_init
import time:      2092 |       2092 |                       numpy.exceptions
import time:      2616 |       2616 |                       numpy._core._exceptions
import time:      1455 |       1455 |                       numpy._core.printoptions
import time:      1737 |       1737 |                       numpy.dtypes
import time:     12293 |      20191 |                     numpy._core._multiarray_umath
import time:      1172 |       1172 |                       numpy._utils._inspect
import time:      1561 |       2732 |                     numpy._core.overrides
import time:      9501 |      32424 |                   numpy._core.multiarray
import time:      1477 |       1477 |                   numpy._core.umath
import time:      1515 |       1515 |                     numpy._core._dtype
import time:      1084 |       1084 |                     numpy._core._string_helpers
import time:      2108 |       2108 |                     numpy._core._type_aliases
import time:      2350 |       7056 |                   numpy._core.numerictypes
import time:      1903 |       1903 |                           numpy._core._methods
import time:      4459 |       6361 |                         numpy._core.fromnumeric
import time:      2628 |       8989 |                       numpy._core.shape_base
import time:      2569 |       2569 |                       numpy._core._ufunc_config
import time:      1552 |       1552 |                       numpy._core._asarray
import time:      5168 |       5168 |                       numpy._core.arrayprint
import time:      3038 |      21314 |                     numpy._core.numeric
import time:      1990 |      23304 |                   numpy._core.einsumfunc
import time:      3286 |       3286 |                   numpy._core.function_base
import time:      2067 |       2067 |                   numpy._core.getlimits
import time:      1856 |       1856 |                   numpy._core.memmap
import time:      2072 |       2072 |                   numpy._core.records
import time:     19305 |      19305 |                   numpy._core._add_newdocs
import time:      2873 |       2873 |                   numpy._core._add_newdocs_scalars
import time:      1141 |       1141 |                   numpy._core._dtype_ctypes
import time:      2501 |       2501 |                       _ctypes
import time:      2280 |       2280 |                       ctypes._endian
import time:      4333 |       9114 |                     ctypes
import time:      2638 |      11752 |                   numpy._core._internal
import time:      1810 |       1810 |                   numpy._pytesttester
import time:      3838 |     114256 |                 numpy._core
import time:       131 |     114386 |               numpy._core._multiarray_umath
import time:      2135 |     116521 |             numpy.__config__
import time:      2125 |       2125 |                               numpy._typing._nbit_base
import time:      1916 |       1916 |                               numpy._typing._nested_sequence
import time:      5247 |       5247 |                               numpy._typing._shape
import time:      7918 |      17204 |                             numpy._typing._array_like
import time:      5246 |       5246 |                             numpy._typing._char_codes
import time:      5515 |       5515 |                             numpy._typing._dtype_like
import time:      1766 |       1766 |                             numpy._typing._nbit
import time:      1075 |       1075 |                             numpy._typing._scalars
import time:       890 |        890 |                             numpy._typing._ufunc
import time:      2296 |      33989 |                           numpy._typing
import time:      1168 |       1168 |                             numpy.lib._stride_tricks_impl
import time:      1354 |       2521 |                           numpy.lib._twodim_base_impl
import time:      1678 |       1678 |                             numpy.lib._array_utils_impl
import time:      2274 |       3952 |                           numpy.lib.array_utils
import time:      1973 |       1973 |                           numpy.linalg._umath_linalg
import time:      7995 |      50429 |                         numpy.linalg._linalg
import time:      2508 |      52937 |                       numpy.linalg
import time:      3347 |      56283 |                     numpy.matrixlib.defmatrix
import time:      1928 |      58211 |                   numpy.matrixlib
import time:      1502 |       1502 |                     numpy.lib._histograms_impl
import time:      3287 |       4789 |                   numpy.lib._function_base_impl
import time:      2413 |      65412 |                 numpy.lib._index_tricks_impl
import time:      2939 |      68351 |               numpy.lib._arraypad_impl
import time:      2689 |       2689 |               numpy.lib._arraysetops_impl
import time:      1253 |       1253 |               numpy.lib._arrayterator_impl
import time:      2087 |       2087 |               numpy.lib._nanfunctions_impl
import time:      1799 |       1799 |                     numpy.lib._utils_impl
import time:      1785 |       3584 |                   numpy.lib._format_impl
import time:      1187 |       4771 |                 numpy.lib.format
import time:      1766 |       1766 |                 numpy.lib._datasource
import time:      2081 |       2081 |                 numpy.lib._iotools
import time:      2245 |      10861 |               numpy.lib._npyio_impl
import time:      1771 |       1771 |                   numpy.lib._ufunclike_impl
import time:      2077 |       3847 |                 numpy.lib._type_check_impl
import time:      2737 |       6584 |               numpy.lib._polynomial_impl
import time:      3048 |       3048 |               numpy.lib._shape_base_impl
import time:      3042 |       3042 |               numpy.lib._version
import time:      1451 |       1451 |               numpy.lib.introspect
import time:      1925 |       1925 |               numpy.lib.mixins
import time:      1532 |       1532 |               numpy.lib.npyio
import time:      1986 |       1986 |                 numpy.lib._scimath_impl
import time:      1348 |       3334 |               numpy.lib.scimath
import time:      1338 |       1338 |               numpy.lib.stride_tricks
import time:      2752 |     110242 |             numpy.lib
import time:      1538 |       1538 |             numpy._array_api_info
import time:      6199 |     246701 |           numpy
import time:      1557 |     248258 |         app.services.embedding_service
import time:      1132 |     252532 |       app.services.competency_engine
import time:      1206 |     253738 |     app.services.cv_generator
import time:      1836 |       1836 |             docx.opc
import time:      1948 |       3784 |           docx.opc.constants
import time:      1342 |       1342 |                   docx.image.constants
import time:      1499 |       1499 |                     docx.image.exceptions
import time:      1195 |       2694 |                   docx.image.helpers
import time:      2513 |       2513 |                     docx.shared
import time:      1949 |       4462 |                   docx.image.image
import time:      1827 |      10323 |                 docx.image.bmp
import time:      2820 |       2820 |                 docx.image.gif
import time:      1898 |       1898 |                   docx.image.tiff
import time:      2110 |       4008 |                 docx.image.jpeg
import time:      1474 |       1474 |                 docx.image.png
import time:      1209 |      19832 |               docx.image
import time:        81 |      19913 |             docx.image.image
import time:      2124 |       2124 |               docx.opc.packuri
import time:      1693 |       1693 |                   lxml
import time:      2471 |       2471 |                     lxml._elementpath
import time:      2818 |       2818 |                     gzip
import time:      1382 |       1382 |                     rnc2rng
import time:     12567 |      19238 |                   lxml.etree
import time:      1638 |      22568 |                 docx.opc.oxml
import time:      2068 |       2068 |                 docx.opc.rel
import time:      1654 |       1654 |                 docx.opc.shared
import time:      1622 |       1622 |                         docx.oxml.exceptions
import time:      1687 |       1687 |                         docx.oxml.ns
import time:      3821 |       7128 |                       docx.oxml.xmlchemy
import time:      2054 |       9182 |                     docx.oxml.drawing
import time:      1611 |       1611 |                     docx.oxml.parser
import time:      1515 |       1515 |                         docx.exceptions
import time:      4218 |       5732 |                       docx.oxml.simpletypes
import time:      2488 |       8220 |                     docx.oxml.shape
import time:      1341 |       1341 |                     docx.oxml.shared
import time:      1183 |       1183 |                       docx.oxml.text
import time:      1205 |       1205 |                             docx.enum
import time:      2289 |       2289 |                             docx.enum.base
import time:      3350 |       6843 |                           docx.enum.dml
import time:      7083 |       7083 |                           docx.enum.text
import time:     13033 |      26958 |                         docx.oxml.text.font
import time:      2088 |      29046 |                       docx.oxml.text.run
import time:      1620 |      31847 |                     docx.oxml.text.hyperlink
import time:      1912 |       1912 |                     docx.oxml.text.pagebreak
import time:      2372 |       2372 |                     docx.oxml.comments
import time:      3651 |       3651 |                     docx.oxml.coreprops
import time:      2656 |       2656 |                         docx.enum.section
import time:      2961 |       2961 |                           docx.enum.table
import time:      2071 |       2071 |                           docx.oxml.text.paragraph
import time:      5873 |      10905 |                         docx.oxml.table
import time:      3387 |      16947 |                       docx.oxml.section
import time:      2092 |      19038 |                     docx.oxml.document
import time:      2607 |       2607 |                     docx.oxml.numbering
import time:      2658 |       2658 |                     docx.oxml.settings
import time:      9323 |       9323 |                       docx.enum.style
import time:      3320 |      12643 |                     docx.oxml.styles
import time:      3374 |       3374 |                     docx.oxml.text.parfmt
import time:      2927 |     103378 |                   docx.oxml
import time:       158 |     103536 |                 docx.oxml.parser
import time:      1652 |     131476 |               docx.opc.part
import time:      1785 |       1785 |                 docx.opc.parts
import time:      1662 |       1662 |                 docx.opc.coreprops
import time:      2121 |       5566 |               docx.opc.parts.coreprops
import time:      1344 |       1344 |                   docx.opc.exceptions
import time:      1697 |       3040 |                 docx.opc.phys_pkg
import time:      1945 |       4984 |               docx.opc.pkgreader
import time:      1335 |       1335 |                 docx.opc.spec
import time:      1712 |       3047 |               docx.opc.pkgwriter
import time:      3198 |     150393 |             docx.opc.package
import time:      2140 |       2140 |               docx.parts
import time:      3799 |       5939 |             docx.parts.image
import time:      1319 |     177562 |           docx.package
import time:      2251 |     183597 |         docx.api
import time:      1561 |       1561 |                 docx.text
import time:      1831 |       1831 |                   docx.styles
import time:     11113 |      11113 |                       docx.dml
import time:     18341 |      29454 |                     docx.dml.color
import time:      2872 |      32325 |                   docx.text.font
import time:      2755 |       2755 |                     docx.text.tabstops
import time:     11271 |      14025 |                   docx.text.parfmt
import time:      3719 |      51900 |                 docx.styles.style
import time:      2122 |       2122 |                     docx.drawing
import time:      1914 |       1914 |                       docx.enum.shape
import time:      1692 |       3606 |                     docx.shape
import time:      1547 |       1547 |                     docx.text.pagebreak
import time:      3049 |      10322 |                   docx.text.run
import time:      5508 |      15830 |                 docx.text.hyperlink
import time:      2462 |      71751 |               docx.text.paragraph
import time:      2281 |      74032 |             docx.blkcntnr
import time:      1764 |      75795 |           docx.comments
import time:      8782 |       8782 |           docx.parts.story
import time:      8736 |      93312 |         docx.parts.comments
import time:      6060 |       6060 |               docx.parts.hdrftr
import time:      3115 |       3115 |               docx.table
import time:      4176 |      13350 |             docx.section
import time:     10759 |      24109 |           docx.document
import time:      2106 |       2106 |           docx.parts.numbering
import time:      1512 |       1512 |             docx.settings
import time:      1597 |       3108 |           docx.parts.settings
import time:     19245 |      19245 |               docx.styles.latent
import time:      1724 |      20969 |             docx.styles.styles
import time:      1632 |      22600 |           docx.parts.styles
import time:     18636 |      70557 |         docx.parts.document
import time:      3009 |     350474 |       docx
import time:      1587 |       1587 |       app.services.nlp_service
import time:     12048 |      12048 |       app.data.regional_terms
import time:      6439 |     370548 |     app.services.resume_parser
import time:      3038 |       3038 |     app.services.ats_compliance
import time:      1949 |       1949 |         httpx.__version__
import time:      1725 |       1725 |                   urllib.response
import time:      1886 |       3610 |                 urllib.error
import time:      7447 |      11057 |               urllib.request
import time:      3398 |       3398 |               httpx._exceptions
import time:     11998 |      11998 |                 http.cookiejar
import time:      5286 |       5286 |                     httpx._types
import time:      1835 |       1835 |                     httpx._utils
import time:      2896 |      10015 |                   httpx._multipart
import time:      2172 |      12187 |                 httpx._content
import time:      1210 |       1210 |                   brotli
import time:      1126 |       1126 |                   brotlicffi
import time:      2326 |       2326 |                   zstandard
import time:      3144 |       7806 |                 httpx._decoders
import time:      6082 |       6082 |                 httpx._status_codes
import time:      1803 |       1803 |                       idna.idnadata
import time:      1464 |       1464 |                       idna.intranges
import time:      3744 |       7010 |                     idna.core
import time:      1474 |       1474 |                     idna.package_data
import time:      2981 |      11465 |                   idna
import time:      6576 |       6576 |                   httpx._urlparse
import time:      2727 |      20767 |                 httpx._urls
import time:      3568 |      62405 |               httpx._models
import time:      3398 |      80258 |             httpx._auth
import time:      1752 |       1752 |             httpx._config
import time:      1309 |       1309 |                   httpx._transports.base
import time:      3675 |       4984 |                 httpx._transports.asgi
import time:      2105 |       2105 |                 httpx._transports.default
import time:      1365 |       1365 |                 httpx._transports.mock
import time:      1168 |       1168 |                 httpx._transports.wsgi
import time:      1302 |      10924 |               httpx._transports
import time:        82 |      11006 |             httpx._transports.base
import time:      3574 |      96587 |           httpx._client
import time:      1551 |      98138 |         httpx._api
import time:      2453 |       2453 |               gettext
import time:      2665 |       2665 |                       ctypes._layout
import time:      4040 |       6704 |                     ctypes.wintypes
import time:      2855 |       9559 |                   click._winconsole
import time:      2637 |      12195 |                 click._compat
import time:      2742 |       2742 |                   click.globals
import time:      2124 |       2124 |                   click.utils
import time:      3030 |       7894 |                 click.exceptions
import time:      7381 |      27470 |               click.types
import time:      2074 |       2074 |               click._utils
import time:      2577 |       2577 |                 click.parser
import time:      1642 |       4219 |               click.formatting
import time:      2049 |       2049 |               click.termui
import time:      7311 |      45572 |             click.core
import time:      1537 |       1537 |             click.decorators
import time:      2595 |      49704 |           click
import time:      1763 |       1763 |             pygments
import time:      6828 |       6828 |             pygments.lexers._mapping
import time:      2429 |       2429 |             pygments.modeline
import time:      1617 |       1617 |             pygments.plugin
import time:      3087 |       3087 |             pygments.util
import time:      4200 |      19922 |           pygments.lexers
import time:      2119 |       2119 |               rich._extension
import time:      2771 |       4890 |             rich
import time:      2806 |       2806 |             rich._null_file
import time:      1865 |       1865 |             rich.errors
import time:      2440 |       2440 |                         rich.color_triplet
import time:      2347 |       4786 |                       rich.palette
import time:      1661 |       6447 |                     rich._palettes
import time:      2060 |       2060 |                     rich.repr
import time:      1950 |       1950 |                     rich.terminal_theme
import time:      5589 |      16045 |                   rich.color
import time:      2641 |      18685 |                 rich.style
import time:      3916 |      22601 |               rich.default_styles
import time:      1995 |       1995 |               rich.theme
import time:      1544 |      26140 |             rich.themes
import time:      2720 |       2720 |             rich._emoji_replace
import time:      3857 |       3857 |             rich._export_format
import time:      1411 |       1411 |             rich._fileno
import time:      1386 |       1386 |                 rich._loop
import time:      1307 |       1307 |                 rich._pick
import time:      2070 |       2070 |                       rich._unicode_data._versions
import time:      1817 |       3886 |                     rich._unicode_data
import time:      3104 |       6989 |                   rich.cells
import time:     20716 |      27705 |                 rich._wrap
import time:     12241 |      12241 |                       rich.segment
import time:      1826 |      14067 |                     rich.jupyter
import time:      3922 |       3922 |                       rich.protocol
import time:      8636 |      12557 |                     rich.measure
import time:      3486 |      30110 |                   rich.constrain
import time:      2253 |      32362 |                 rich.align
import time:      1858 |       1858 |                 rich.containers
import time:      1745 |       1745 |                 rich.control
import time:      1639 |       1639 |                 rich.emoji
import time:      3392 |      71390 |               rich.text
import time:      1343 |      72733 |             rich._log_render
import time:      2016 |       2016 |             rich.highlighter
import time:      3343 |       3343 |             rich.markup
import time:      2456 |       2456 |             rich.pager
import time:      2056 |       2056 |             rich.region
import time:      1554 |       1554 |             rich.screen
import time:      1578 |       1578 |             rich.styled
import time:      9465 |     138883 |           rich.console
import time:       320 |        320 |             mmap
import time:      9108 |       9108 |             rich.filesize
import time:      4219 |       4219 |                 rich.ansi
import time:      1992 |       6210 |               rich.file_proxy
import time:      1778 |       1778 |               rich.live_render
import time:      2347 |      10334 |             rich.live
import time:      1705 |       1705 |             rich.progress_bar
import time:      1771 |       1771 |               rich._spinners
import time:      2310 |       2310 |                 rich.box
import time:      1891 |       1891 |                 rich._ratio
import time:      1693 |       1693 |                 rich.padding
import time:      5361 |      11253 |               rich.table
import time:      1578 |      14601 |             rich.spinner
import time:      6923 |      42989 |           rich.progress
import time:      1558 |       1558 |               pygments.filter
import time:      1881 |       1881 |                 pygments.token
import time:      2722 |       4603 |               pygments.filters
import time:      1226 |       1226 |               pygments.regexopt
import time:      3151 |      10536 |             pygments.lexer
import time:      1433 |       1433 |             pygments.style
import time:      1475 |       1475 |               pygments.styles._mapping
import time:      1252 |       2726 |             pygments.styles
import time:      3634 |      18327 |           rich.syntax
import time:      3188 |     273011 |         httpx._main
import time:      2947 |     376043 |       httpx
import time:      1395 |     377438 |     app.services.github_service
import time:       949 |        949 |     app.services.notification_service
import time:      1049 |       1049 |       app.data.certification_registry
import time:       956 |       2005 |     app.services.community_service
import time:     54316 |    1062029 |   app.routers.candidates
import time:      1185 |       1185 |     app.services.dossier_service
import time:      1054 |       1054 |     app.services.audit_service
import time:       163 |        163 |         _statistics
import time:     38072 |      38235 |       statistics
import time:      1207 |       1207 |       app.services.bias_audit_engine
import time:      1178 |      40619 |     app.services.feedback_service
import time:      1299 |       1299 |     app.services.talent_pool_service
import time:     64754 |     108909 |   app.routers.recruiters
import time:       873 |        873 |     app.services.admin_registry_service
import time:     26150 |      27022 |   app.routers.admin
import time:      1325 |       1325 |     app.services.chat_service
import time:      1081 |       1081 |     app.services.connection_manager
import time:     29982 |      32387 |   app.routers.messages
import time:      1829 |       1829 |   app.routers.ws
import time:       848 |        848 |     app.services.ai_service
import time:     18447 |      19295 |   app.routers.interview
import time:    609808 |    5971237 | main
